nama_penulis,rating,teks_ulasan,waktu,likes,sentimen
Khoirul Misbah,5.0,Baguss,3 years ago,0,Positif
 Febrian Dwi Purnama,5.0,Rekomendasi Laptop 2nd paling mantap,3 years ago,0,Positif
isa setyawan,5.0,"Kualitas laptopnya joss bgt like NEW!!! pemberian garansi 1thn bener"" Sangat membantu dan juga yg terpenting HARGA nya yg JAUH Lebih MURAH dr harga normal tapi kondisi nya masih JOS!!!
RECOMENDED BANGET POKOK E",10 months ago,0,Positif
Auryn Hanselino,5.0,Mantab rekomendasi,a year ago,0,Positif
putri zaitun nisa,5.0,"Harga affordable, barang up date pelayanan ok bangettt",2 months ago,0,Positif
Andika Ronaldo,5.0,Uademmm & recommended buat yg cari laptop,2 years ago,0,Positif
Yasinta Astrid Susanti,5.0,"thankyou hero computerğŸ˜Š pelayanan ramah, detail, dan worth it for unitnya ğŸ™ğŸ»",3 months ago,0,Positif
Muhammad Titan Ardhana Maheswara,5.0,"Tempat cari gadget recomended banget, khusunya laptop. cari laptop second disini, dibantu kasih rekomendasi sama mas mas pegawainya. Pelayanan super ramah, dan sangat membantu menentukan pilihan.",2 years ago,0,Positif
MUH RIFALDY TAKAPENTE,5.0,"Mantappl
Pelayanan terbaik",2 years ago,0,Positif
Ismail,5.0,rekomendedd buat yang nyarii laptop,a year ago,0,Positif
Akhy Putra,5.0,Memuaskan,a year ago,0,Positif
Daqiq F Putri,5.0,"Tempat bagus dan amanah untuk pembelian laptop second, admin juga gercep dan informatif. Sebelum beli boleh tanya-tanya dulu dan booking. Bisa cek di instagram juga unit unitnya atau better bertanya langsung ke adminnya untuk unitnya",a year ago,0,Positif
Alif Haikal,5.0,"harga terbaik, pelayanan ramah, jos pokoke ğŸ‘ğŸ»",3 years ago,0,Positif
Alee Wafa,5.0,Cool keren,a year ago,0,Positif
Ikhsanita Mukti Putri,5.0,"Trusted, barang like new semua, bergaransi. Yang jelas harga bisa disesuaikan kantong. Suksesâ€¦",a year ago,0,Positif
Pita Dewi,5.0,Ngebantu bgt ini sihh,2 months ago,0,Positif
Pandu Kimmy,5.0,"Lengkap, garansi lama, 100% ori",8 months ago,0,Positif
fahrizal fitriono,5.0,Rekomendasi toko laptop second,2 years ago,0,Positif
Haidarghiffari Adam,5.0,"Pelayanan ramah, own nya menjelaskan detail sesuai kebutuhan laptop yang pengen tak beli. Sukses berkas selalu, Hero Computer. Semoga rezekinya nular.",2 years ago,0,Positif
Septiana Sabila Hasna,5.0,Mantap! Lengkap! Murah!,3 years ago,0,Positif
Sigit Meliyanto,5.0,"Top, beli online , ga perlu cek barang langsung udah dijamin bagus pol..",2 weeks ago,0,Positif
Aqsha Laorens Umami,5.0,"pilihan laptop terpercaya, bagus, dan pastinya juga original serta pemakaian bisa jangka panjang. Jangan lupa berbelanja disini guys.",3 months ago,0,Positif
Ahmad Ali M,5.0,Toko laptop murah. Lengkap bergaransi. Pokoknya laptop mulus banget pelayanan mantap,2 months ago,0,Positif
Purna Karyanto,5.0,Good place.. Terbaikk...,3 months ago,0,Positif
Hilmi Miftahzen Reza,5.0,"Pelayanan ramah, own nya menjelaskan detail sesuai kebutuhan laptop yang pengen tak beli. Sukses berkas selalu, Hero Computer. Semoga rezekinya nular.",7 months ago,0,Positif
Guntur Wahyu,5.0,"kakak nya ramah banget, nanya apa aja dijawab. laptop second tapi kondisinya kayak barang baru, untuk harganya jangan ditanyakan lagi deh. the best pokoknya. lancar terus buat hero komputer ğŸ™ğŸ™",a year ago,0,Positif
suhud dharmawan,5.0,"Pelayanan terbaik, dapat diskon+dapat bonus",a year ago,0,Positif
Dimas Bayu,5.0,Keren lengkap seri nya,2 years ago,0,Positif
Wafa Wardana,5.0,Terbaik. Pilihan utama laptop secondhand berkualitas. Dijelaskan oleh mas nya dgn sabar dan jujur. Offline store nyaman dan sejuk. Top markotop,4 months ago,0,Positif
Septiana Sabila Hasna,5.0,Mantap! Lengkap! Murah!,5 months ago,0,Positif
Elfira Syahratul,5.0,"mantapğŸ‘ pelayanannya bagus, penjualnya ramah banget, mau jelasin banyak, harga untuk laptop bekas yg kaya laptop baru worth it bangett, cocok banget buat yg mau cari laptop bekas tapi kaya baruu. kereenğŸ¤©",2 years ago,0,Positif
Joseph Gerung,5.0,pegawai nya ramah sekali terus dijelaskan secara detail semua jadinya mudah dimengerti dan laptop nya lengkap sekali,a week ago,0,Positif
 Febrian Dwi Purnama,5.0,Rekomendasi Laptop 2nd paling mantap,Edited 11 months ago,0,Positif
AGHISNA RIZKA,5.0,Cari laptop yang bekas tapi bagus terawat dan terpercaya disini solusinya. Puas sekali dengan laptop yang didapat.,3 months ago,0,Positif
Septia Wulan,5.0,"Toko terpercaya barangnya masih bagus dan mulus dikasih bonusnya juga, kakaknya juga ramah dan fast respon.",4 years ago,0,Positif
Aisa k. dela,5.0,laptop second garansi recommended,a year ago,0,Positif
Hasan Riyanto,5.0,"Barang istimewa.
Pelayanan super ramah.

Makasih mas.
Sukses teruss",4 years ago,0,Positif
Abram Dewantoro,5.0,"Offline store dari ignya : laptopbekasyogyakarta.id bekas berkualitas, barangnya manteb manteb, mantau terus ignya tiap ada postingan baru, kalo ngga cepet cepet nge booking bisa keduluan orang lain, hasil buruan pun dapet disini tuff f15 jauh lebih hemat dari beli baru, padahal barang 98% like new",3 years ago,0,Positif
Arma Rizki,5.0,"Mantab, kualitas joss",a year ago,0,Positif
hanim usmantoro,5.0,"Pelayanan ramah, langsung direkomendasikan sesuai pengguna dan dibantu juga untuk cek kondisi fisik dan software laptop,, dan satu lagi Minggu tetap buka cocok bagi pekerja kantoran",7 months ago,0,Positif
Cand Ga,5.0,"pelayanan ramah, jual laptop lebih tinggi dari harga pasaranğŸ‘",3 months ago,0,Positif
Vina Puspitasari,5.0,"Pelayanan cepat, ramah, harga terjangkau, yang paling penting kualitasnyaa gaperlu diragukannn gaiss top markotop",a year ago,0,Positif
0756 _MIKCHAEL YOHANES KUHUELA,5.0,"Tempat cari gadget recomended banget, khusunya laptop. Aku cari laptop second disini, Kalau masih bingun mau myari laptop apa tenang mas masnya bisa bantuin nyaranin.Pelayanan super ramah, dan sangat membantu menentukan pilihan.",2 years ago,0,Positif
adelia,5.0,laptopnya bagussss & pelayanannya jg oke banget :D,a year ago,0,Positif
Muhammad Rofiki,5.0,tempat jual beli laptop second ter-recomended di jogja nih:),11 months ago,0,Positif
Suwiknyo Arif,5.0,"Barangnya rekomended dan harga murah tpi bukan murahan, terbaik se jogja pokoknya!!",3 months ago,0,Positif
farra shaesha,5.0,"pelayanannnyaa sangatt baguusss, kakak kakak nyaa gercepp dann ramahhh selaluu fastt responn, barang barangnyaa jugaa lengkaapo dann baikk banget dikasihh free giftt dan diskon juga, thank youuuğŸ™ğŸ»ğŸ™ğŸ»ğŸ™ğŸ»",10 months ago,0,Positif
Thomas Winahyu,5.0,"tempat beli laptop bekas terbaik, pelayanan ramah pokoke joss gandoss ğŸ‘ğŸ»ğŸ‘ğŸ»",3 years ago,0,Positif
Stella Natalia,5.0,"Tokonya baguss, pelayanannya mantap cocok untuk yang nyari laptopp. The best toko dehh",2 years ago,0,Positif
Imas Hasanah,5.0,Buat yg cari leptop second disini worth it bgt sihh..,a month ago,0,Positif
Radhitya Putra Neindar,5.0,"banyak variasi laptop yang tersedia, penjaga toko juga ramah ramah dan baikkk sekali..",3 months ago,0,Positif
Sak Ban,5.0,"Alhamdulillah, pelayanannya sangat ramah, dan leptop yang dijual berkualitas semuağŸ‘",a year ago,0,Positif
Ardi Firmansyah,5.0,"Mantap, masnya baik dapat diskon cuy ğŸ‘ğŸ»
Ready barang masih bagus bagus dan terawat",a year ago,0,Positif
Nopel Nop,5.0,"worth it, dan mulus mulus sih",7 months ago,0,Positif
Ayesha Nuha Auliyaa,5.0,"tempat cari laptop yang recommended, bisa dapet yang masih ada garansi resminya juga, harganya worth it, masnya ramah, semoga amanah selalu",2 years ago,0,Positif
Fuad Jordan Erfianto,5.0,Laptop murah,3 years ago,0,Positif
Daniel Fendi,5.0,"Pelayanan Baik, Ramah.",2 years ago,0,Positif
Bayu Setiyawan,5.0,Pelayanan baik dan ramah banget. Kondisi barang juga bagus,4 months ago,0,Positif
Realisca Agastha,5.0,"tokonya lengkap, harganya affordable, pelayanan ramah, the best laah pokonya",2 weeks ago,0,Positif
isnaini subkhi,5.0,Menjual laptop yg masih bergaransi resmi. Ini yg membedakan dg toko lain. Kerenn,4 years ago,0,Positif
Arimbi Arum Sw.,5.0,"Pelayanan super ramah, kualitas laptopnya masih bagus2. Rekomen kalau mau nyari laptop second disini",11 months ago,0,Positif
luthfia safirani renaningtyas,5.0,pelayanan sangat baik,2 years ago,0,Positif
Mf Iqbal,5.0,Mantab semoga berkah barokah,3 weeks ago,0,Positif
Redaksi Bekicot Balap,5.0,Wangun :)),a year ago,0,Positif
Hendriansyah,5.0,Mantap lah pokoknyaa,a year ago,0,Positif
Dhe' Pan,5.0,"Seler Ramah , Amanah . Kualitas Istimewaa",4 years ago,0,Positif
Afrizal fr,5.0,MANTAB PRODUKNYA OKE SEMUA GOKIL,a year ago,0,Positif
isa setyawan,5.0,"Kualitas laptopnya joss bgt like NEW!!! pemberian garansi 1thn bener"" Sangat membantu dan juga yg terpenting HARGA nya yg JAUH Lebih MURAH dr harga normal tapi kondisi nya masih JOS!!!
RECOMENDED BANGET POKOK E",4 years ago,0,Positif
Cahya Danurahman,5.0,Seller komunikatif dan produk oke,2 years ago,0,Positif
Sad Polaris,5.0,"Barusan beli latop disini, dan jujur puas banget! Dari awal tanya-tanya, adminnya fast respon dan sabar jelasin. Pilihan laptop banyak, harganya juga oke banget dibanding tempat lain. Proses kirim cepet, laptop langsung nyala tanpa masalah. Pokoknya recommended banget buat yang mau cari laptop tanpa ribet!",5 months ago,0,Positif
Harjanto Official,5.0,"Pelayanan ramah, harga cocok",a month ago,0,Positif
Alif Nur Amien,5.0,"Pelayanan nyaman, barang okeğŸ‘Œ
Sukses selalu Hero Computer Jogja",a year ago,0,Positif
Mario Tri Wahyugo,5.0,"Tempat penjualan laptop bekas like new paling recomended dan terpercaya
Ada garansi juga",2 years ago,0,Positif
Afdika Permana,5.0,Aman dan terpecaya. Dan gampang konsultasi,8 months ago,0,Positif
wahidriyanto -,4.0,Cocok si buat temen temen yang nyari laptop second dengan kualitas baru. Saya dapat leptop msi a15 like new dengan harga di bawah harga baru ada sedikit perubahan si di bagian penyimpan ssd yang ga sesuai seperti bawaan tapi gamasalah aman,2 years ago,0,Positif
Aristo Tanor,5.0,Sangat terpercaya dan mantap!,3 years ago,0,Positif
Agung Jaya Laksana,5.0,"Very trusted & recommended seller.. pembelian online direct trf, barang sesuai yg ditawarkan. Works 100%. Packing nya jg bagus, bubble wrapnya tebel",3 years ago,0,Positif
Akmal Nafidz Lawdza'i Kusmayadi,5.0,Terbaik ğŸ‘ğŸ‘ğŸ‘,3 weeks ago,0,Positif
Arni Kurnia,5.0,"Highly recommended, pelayanan ramah, kualitas produk okeee",10 months ago,0,Positif
Ahmad Sholihun,5.0,Layanan prima dan memuaskan,2 years ago,0,Positif
Gaby Zefanya,5.0,Pelayanannya ramah dan dijelaskan sedetail mungkin saat mau beli laptop. Good service! ğŸ˜Š,8 months ago,0,Positif
Ahmad Asad Malik Syoh Putra,5.0,The best lahh. Yokk kesini yokkk.,2 years ago,0,Positif
Abdul Aziz,5.0,"Pelayanan ramah, kualitas top, trusted, RECOMMENDED!",6 months ago,0,Positif
Cahyo Pamungkas,5.0,pelayanan ramah,2 years ago,0,Positif
Orges Sprinter,5.0,Pelayanan sangat nyaman,a year ago,0,Positif
Ilham Sudistiawan,5.0,Tempat pembelian laptop second yang sangat recommended.,2 years ago,0,Positif
Aditya Wahyu Pratama,5.0,"harga terjangkau dan kualitas good , terimakasih.",2 years ago,0,Positif
HASSAN SAA,5.0,Hero computer mantap,a year ago,0,Positif
Aini Nur Hidayah,5.0,rekomen buat yg nyari laptop second tpi kualiatas bagus,3 months ago,0,Positif
Iswan Ardi 323,5.0,tempat beli laptop recommended ğŸ‘ğŸ»ğŸ‘ğŸ»,6 days ago,0,Positif
HASSAN SAA,5.0,Hero computer mantap,7 months ago,0,Positif
Ibnu Abdul aziez,5.0,"Pelayanan mantap, produknya rekomended, tempatnya bersih estetik",a week ago,0,Positif
Erlangga Mahes,5.0,"recommended banget tempat ini untuk jual atau beli laptop, pelayanan ramah harganya juga pas",a year ago,0,Positif
Ahmad Asad Malik Syoh Putra,5.0,The best lahh. Yokk kesini yokkk.,5 months ago,0,Positif
Riski ananda p,5.0,"Pilihan laptop secondhand berkualitas,bagus.  Offline store nyaman dan sejuk. Top markotopğŸ‘ğŸ‘ğŸ‘ pokonya mantap",4 months ago,0,Positif
zen oktaviani,5.0,"Pelayanan memuaskan, pilihan variasi laptop banyak, harga juga terjangkau. Mantab",5 months ago,0,Positif
Alia Nutrisiany,5.0,"Barang ok, pelayanan ramah .. recomended banget deh kl mau cari laptop second masih garansi resmi ğŸ‘ğŸ‘",3 years ago,0,Positif
Ika Widyastuti,5.0,Pelayanan bintang 5 banget!!!,a year ago,0,Positif
Ton ton,5.0,"Ramah, barangnya bagus bagus",a year ago,0,Positif
Arif Setyo Bowo,5.0,"Masya Allah, sip banget, like new laptopnya, hemat 1 jtan Alhamdulillah.",6 months ago,0,Positif
Tika Aprillia Hendrawati,3.0,tidak ramah di kantong,a month ago,0,Negatif
Aliendina Jwalita,2.0,Pelayanya jelekk bangett,a year ago,0,Negatif
fauziah dwr,2.0,Lihat ulasanya bagus tapi pas datang ke store tidak sesuai,a year ago,0,Negatif
Fatkhur Wicaksono,2.0,Terlalu mahal untuk kantong mahasiswa,5 months ago,0,Negatif
Alfathan Nur,3.0,Beli laptop disni tidak dapat diskonnya,7 months ago,0,Negatif
Muhammad Ibnu Majah,3.0,Tidak banyak pilihan laptopnya disini,a month ago,0,Negatif
Fajar Kurosaki,3.0,"Sya beli laptopnya disini,, tempatnya tidak nyaman, dan juga penjual nya tidak ramah ",a year ago,0,Negatif
Hari Prasetyo hariprasetyo.2021,1.0,Tidak nyaman tempat nya,a year ago,0,Negatif
Imam Noor,2.0,Tidak bagussss,5 months ago,0,Negatif
daniel,2.0,"Pengalaman beli notebook disini dengan budget yg besar. Sejak awal pembelian sudah ada masalah charger trouble. Tapi hanya diganti kabel powernya saja..dgn janji jika ada trouble akan dibantu. Tapi selang 9 bulan saya hubungi tidak dijawab terkait ini. (Karna masih garansi) saya coba ke servis center. Tapi krna garansi charger dan unit laptop berbeda.. Jadi saya terpaksa beli charger baru 600k.
Saran saya tetap perhatikan customer yg telah membeli ditempat anda.. walaupun tdk mengganti kerusakan. Minimal memberikan solusi dan aftersales terbaik..karna kepercayaan itu sangat mahal apalagi dgn cacat produk yang telah dijual ke customer.",2 years ago,0,Negatif
Nauval M habib,3.0,"Kondisi toko tidak terlalu meyakinkan, barangnya terlihat berantakan.",2 months ago,0,Negatif
Widi Setyawan,3,cukup lengkap,6 days ago,0,Negatif
andrian baskoro,2.0,"Charger yang dikirim bukan yang original, kesannya asal-asalan.",3 years ago,0,Negatif
faiq assidqie,2.0,Coba di perhatikan lagi dalam pelayanan nya,2 years ago,0,Negatif
Satya Rhey,3.0,Tempat ny kurang bagus,a month ago,0,Negatif
Andwi Apriyogi,3.0,Laptopnya bagus2 tapi pas kesana banyak unit yang kosong,8 months ago,0,Negatif
Bregas Wahyu Mulia,1.0,"Tidak rekomend, laptopnya kurang lengkap",2 years ago,0,Negatif
Samson Moses Simbolon,3.0,"Pelayanan nya jelek, tidak ramah",3 years ago,0,Negatif
M Azharuddin,2.0,Laptop tiba dengan kondisi port USB mati,8 months ago,0,Negatif
muchsin muzafar,2.0,"Tempatnya tolong di perhatikan lagi, saya kesitu banyak sampah jajan",4 months ago,0,Negatif
Fonda Adiwendro,1.0,"Adminnya slow respons banget, nanya sedikit saja jawabnya lama.",2 years ago,0,Negatif
Angga P,3.0,Tidak rekomend buat yang cari laptop second,a year ago,0,Negatif
galih priyambodo,3.0,Stok barang tidak lengkap,6 months ago,0,Negatif
Shebil Wibowo,2.0,Kurang memuaskan,a year ago,0,Negatif
AYU NINGRUM,1,Tempat nya kurang nyaman,3 months ago,0,Negatif
Dev,4.0,Masnya tidak ramah banget,3 years ago,0,Negatif
Aathif Alwan,1.0,Laptop bekasnya banyak yang tidak sesuai,a year ago,0,Negatif
trie setyaningsih,2.0,Kualitasnya jelek,3 years ago,0,Negatif
M adzin,2.0,Admin sama sekali tidak membantu waktu saya komplain.,3 months ago,0,Negatif
bsi eka,1.0,Tidak ada opsi lain barang nya kurang memuaskan,a month ago,0,Negatif
Andaru Elok Sekar Artsanti,1.0,Berharap beli disini bagus ehh ternyata laptopnya lemot sekali padahal spesifikasinya tinggi.,2 months ago,0,Negatif
Bayu Trsl,1.0,"Pernah beli di sini, ketika dicek barang nya bagus pas sampe rumah keyboard nya banyak yang tidak berfungsi ",8 months ago,0,Negatif
Sheva Razak,2.0,karyawannya kurang sopan dan seperti terburu-buru.,11 months ago,0,Negatif
ahmad hilal,3.0,"Lumayan bagus lah, tapi mas2 nya tidak sabar ",2 years ago,0,Negatif
luluk mufidaaa,2.0,Pelayan nya jelek,a year ago,0,Negatif
Jehan Pahlevi,3.0,Kualitas barangnya tidak terjamin,2 years ago,0,Negatif
MUHAMMAD RIDWAN FIRMANSYAH,1.0,"Baterai laptop drop parah, cuma kuat setengah jam.",8 months ago,0,Negatif
syamhudz,2.0,"Buat mbak nya tidak ramah, cemberut terus",10 months ago,0,Negatif
Bimo Khaerul Fuadi,3.0,"Stok barang tidak jelas, sering dibilang ada tapi ternyata kosong.",a year ago,0,Negatif
FAJAR DESTA,1.0,"Pelayanan tidak ramah,dan harga yang mahal ,barang nya biasa saja...",3 years ago,0,Negatif
Faisal Ainnurrokhim,1.0,Dichat katanya ready pas datang tidak tersedia distore,3 years ago,0,Negatif
sutrimo rezki oktaviawan,2.0,"Jauh jauh dari klaten ternyta tidak lengkap, padahal pas di wa katanya ready",a year ago,0,Negatif
Filhafirah Pratiwi,1.0,Adik saya beli disini Speaker laptop suaranya pecah.,5 months ago,0,Negatif
Muhammad hisyam,3.0,Pengalaman beli laptop tapi tidak di layani dengan baik sama mas2nya,a year ago,0,Negatif
Elki Putra,1.0,Tidak baguss,8 months ago,0,Negatif
Andi Surandi,3.0,Saya kecewa karena baterai diganti dengan yang KW,2 years ago,0,Negatif
Rizki Sisthannisa,1.0,Pelayanan tidak jujur Layar ada dead pixel tapi dibilangnya normal.,6 months ago,0,Negatif
Ayu Hanifah,1.0,Masnya yang ngelayanin tidak ramah,2 years ago,0,Negatif
Natania Safa,2.0,Karyawan sering sibuk main HP daripada melayani.,a year ago,0,Negatif
Angga Purwanto,3.0,Karyawanya tidak ramah,2 years ago,0,Negatif
yuni apriyanti,3.0,Karyawan nya cuek bangett,2 years ago,0,Negatif
Annisa Fatima,3.0,Pelayan nya kurang,3 years ago,0,Negatif
Dhifa Aji,1.0,Mikir lagi deh klau mau cari laptop secend disni,3 years ago,0,Negatif
Guntoro Yudhy Kusuma,1.0,"Tolong di perhatikan lagi untuk karyawan nya yang memakai topi, respon nya tidak enak ",9 months ago,0,Negatif
TM_Hasbi Firmansyah,3,mbak nya agak judes,7 months ago,0,Negatif
Muhammad Sakhin Nursena_FT,1.0,Kualitas sangat jelek,3 years ago,0,Negatif
wahyu dyan,1.0,Kapok beli disni kabel adaptornya tidak asli,a year ago,0,Negatif
Yasmine Shazia Azzaria K,3.0,Kondisi laptop lumayan,6 months ago,0,Negatif
Azka Shadam,3.0,"Karyawan nya sepertinya baru, komunikasinya kurang jelas ",11 months ago,0,Negatif
Hikmal Mahdi,1.0,Banyak yang tidak sesuai dengan yang ditawarkan,6 months ago,0,Negatif
Anik Prihantini,1.0,Keyboardnya banyak tombol tidak berfungsi sejak baru datang.,2 years ago,0,Negatif
Muhammad Riski,2.0,Mantul deh pelayanan bagus dan pengiriman cepat,3 years ago,0,Negatif
Didik Andy Irawan,1.0,Beli laptop di hero com ternyata Kamera laptop tidak berfungsi sama sekali pas buat zoom,2 years ago,0,Negatif
sirgobanggasir alfan,3.0,Barang nya seperti tidak menyakinkan,3 years ago,0,Negatif
Wisnu Dwi Anggana,3.0,Staf di toko offline tidak ramah.,3 years ago,0,Negatif
Ria Dini Andita,1.0,"Karyawan nya melayani sambil makan batagor, tidak punya attitude",6 months ago,0,Negatif
Galih A. Setiyawan,3.0,Tempatnya kurang nyaman,10 months ago,0,Negatif
Yohana Lestarina Nage,2.0,Tokonya tidak jujur kabel adaptornya tidak ori,a year ago,0,Negatif
sahilal wahayanan,2.0,Tidak sesuai dengan di chat wa sama aslinya,2 years ago,0,Negatif
Eka Pujilestari,2.0,Aksesoris bawaan tidak lengkap.,7 months ago,0,Negatif
Adi Berliano,2.0,"Laptopnya panas banget, dipakai sebentar saja sudah overheat.",2 years ago,0,Negatif
Assyifa Damara,3.0,Dichat balasnya slowrespon sekalii,a year ago,0,Negatif
Muhammad Nur Prasetyo,2.0,Baru pertama kali kesini tapi mbak nya jutek bangettt,a year ago,0,Negatif
Nafi Mubarrok,3.0,tempatnya kurang bersih kotor,6 months ago,0,Negatif
heri wahyuningsih,3.0,buat mahasiswa yang mau cari cari laptop di Jogja mending pikir2 d,10 months ago,0,Negatif
Dawang Gilang,2.0,Pelayanan tidak ramah barang nya juga tidak bagus,2 years ago,0,Negatif
Yohanes Christda,3.0,Pelanan nya jelek,a year ago,0,Negatif
Purna Karyanto,3.0,harganya lumayan mahal,3 months ago,0,Negatif
Prasetyo Nugroho,2.0,Ownernya cuekk,3 years ago,0,Negatif
Syendi Prima Syahputra,2.0,Kualitasnya biasa saja,2 years ago,0,Negatif
Antix Gergunung,1.0,"Kesini pas lagi rame, disuruh nunggu lama banget sampai ga di layanin akhirnya pulang",a year ago,0,Negatif
071_ Nathasa Caroline,1.0,Port-port laptop banyak yang rusak dan tidak diberitahu sebelumnya.,a month ago,0,Negatif
Mikel,2.0,"Beli disini pas sampe rumah Kipas laptop berisik sekali, seperti mau rusak.",2 months ago,0,Negatif
M.Rezky Syahputra,2.0,Kualitas kurang bagus dan pelayanan tidak ramah,8 months ago,0,Negatif
SEKAR ARUM SAYEKTI,3.0,Baterai laptop turun drastis dalam waktu singkat.,4 months ago,0,Negatif
KENGY GILANG RAMADHAN,2.0,Kualitas tidak oke,3 years ago,0,Negatif
Bagus Teguh,1.0,Dibikin bingung sama pelayan nya,a year ago,0,Negatif
Avissina Asqolani,1.0,"Tidak Bagus, kurng Nyaman barang juga tidak sesuai pesanan",3 years ago,0,Negatif
Mustika Bambang,3.0,Pelayanannya bintang 1 tidak ramah,2 years ago,0,Negatif
Gigih Dwiwantoro,2.0,Respon mas nya tidak enak,a year ago,0,Negatif
Muhammad Huda,1.0,Niat hati mau tukar tambah ternyata malah ribet,a year ago,0,Negatif
Riski Ramadhan,3.0,Rada nyesel beli disini,7 months ago,0,Negatif
suid3,2.0,Tidak tempat recommended beli laptop,3 months ago,0,Negatif
Rahmadiyah Salsabila,3.0,ketersediaan laptopnya tidak banyak,6 months ago,0,Negatif
Hooked Indonesia,3.0,Coba untuk unit nya disusun dengan rapi pasti tokonya keliatan bersih,2 years ago,0,Negatif
Candra Satya,3.0,Pelayan nya tidak memuaskan,2 years ago,0,Negatif
Riris Saniyati,2.0,Informasi yang diberikan di wa tidak sama dengan ditoko,a year ago,0,Negatif
RAJA MAHENDRA PRAMUWIDAGDO,3.0,Beli ditoko barang nya bagus mulus pas nyampe kos laptopnya tidak mau nyala,a year ago,0,Negatif
Ibnu Abdul aziz,1.0,mbak2 nya di tanyain radak sewot wkwkw,8 months ago,0,Negatif
Bayu Prasetyo,3.0,Kurang bagus,a year ago,0,Negatif
Ali Nur Sya'Ban,5.0,Bagusss,2 years ago,0,Netral
Hemas Keni Darmawan,4.0,Siip,3 years ago,0,Netral
Kasan Asngari,5.0,Recomen,5 months ago,0,Netral
Khatami Rasyad,5.0,Amanah,3 years ago,0,Netral
muhamad thomy,5.0,Mantap mantap laptopnya,3 years ago,0,Netral
bayu Sajiwo,5.0,Memuaskan,3 months ago,0,Netral
Redaksi Bekicot Balap,5.0,Wangun :)),2 years ago,0,Netral
yelsa archive,5.0,kerennnn,2 months ago,0,Netral
Taufiq Agung Pambudi,5.0,mantap sat set,3 years ago,0,Netral
Ganang Dwi Prasetyo,4.0,bagusss,2 years ago,0,Netral
AprillyanKusuma,5.0,Mantabbbb,2 years ago,0,Netral
RENJIS FARHAN,5.0,Mantap mantap laptopnya,4 years ago,0,Netral
Rifqi Ansori (Iphi),5.0,Murah,a month ago,0,Netral
Satrio Damas,5.0,Jos markojos,a month ago,0,Netral
Riski F,5.0,Joossss,3 years ago,0,Netral
Angga,5.0,Mntap,7 months ago,0,Netral
Fahmi Sofiriansah,5.0,gokilll og,7 months ago,0,Netral
MOHAMMAD SULTON,5.0,Penjual yang ramah,a year ago,0,Netral
Risky ga,5.0,Mantapp,3 years ago,0,Netral
Inayah,5.0,terpercaya,2 years ago,0,Netral
Muhammad Rizkyy Arya,5.0,Mantap jiwa,2 months ago,0,Netral
Alfath Afdhal,5.0,bagus,3 months ago,0,Netral
Nico apriliantono,5.0,keren,2 years ago,0,Netral
Cingire Anjay,5.0,Keren keren,6 months ago,0,Netral
Rizky Gusti,5.0,Gampang di cari,a year ago,0,Netral
Rifqi Ansori (Iphi),5.0,Murah,2 years ago,0,Netral
Satrio Aji,5.0,Mantaapp,3 years ago,0,Netral
Hadyan hafifi,5.0,Tmpat rekomen yg mau beli laptop second gaming,3 years ago,0,Netral
Novaldi Mustamin,4.0,Pelayanan oke bonus pembelian oke,2 years ago,0,Netral
yusuf aja,5.0,toko bagus,2 years ago,0,Netral
Ali Nur Sya'Ban,5.0,Bagusss,5 months ago,0,Netral
Meirizka,5.0,bagus!,3 months ago,0,Netral
Kelas Hukum,5.0,Mantap,2 years ago,0,Netral
Ali Ramdani,5.0,ğŸ‘ğŸ‘ğŸ‘ğŸ‘,2 years ago,0,Netral
Rahmat Bagas,5.0,Mantep,a year ago,0,Netral
Java Mahdi,5.0,"Barang bagus, pelayanan siippppğŸ‘ğŸ‘ğŸ‘",2 years ago,0,Netral
Pandu Dian Wicaksono,5.0,"Mantabbbbbb betul, terimakasih",5 months ago,0,Netral
RzaAdty,5.0,Langganan ğŸ‘ŒğŸ»,a month ago,0,Netral
PO POO,5.0,Mantap,2 years ago,0,Netral
Ayu Ratih,5.0,"oke banget, beli laptop second serasa baruuuğŸ‘ŒğŸ»",2 years ago,0,Netral
Yohanes Danu Rhadian,5.0,Mantapp,a year ago,0,Netral
Haikal Rahmadany,5.0,Jos markojos,2 years ago,0,Netral
Muhammad Niko Herlangga,5.0,mase baik,6 months ago,0,Netral
jus jambu,5.0,ramah,3 months ago,0,Netral
Adien Naufal A.N.,4.0,masnya baguss,3 years ago,0,Netral
Adiv,5.0,tempatnya nyaman ğŸ‘ğŸ»,a month ago,0,Netral
Ravido Agasy,5.0,"Recomended banget, tempatnyaa nyaman, pelayanan ramah, dan harga standar sesuai spek, dan bisa negoo",a year ago,0,Netral
Mochamad Riyan,5.0,Mantap,2 months ago,0,Netral
Pamungkas Sugihartoko,5.0,Koleksi mantab . Harga oke..  pelayanan juosss..,2 years ago,0,Netral
Melkhy Sensi,5.0,Mantap ğŸ‘ğŸ»,2 months ago,0,Netral